Company Name,Industry,Symbol,Series,ISIN Code,Index
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030,Nifty 200
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022,Nifty 200
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014,Nifty 200
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018,Nifty 200
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026,Nifty 200
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,EQ,INE140A01024,Nifty 200
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,EQ,INE455K01017,Nifty 200
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011,Nifty 200
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010,Nifty 200
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011,Nifty 200
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014,Nifty 200
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022,Nifty 200
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028,Nifty 200
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018,Nifty 200
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018,Nifty 200
SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,SBICARD,EQ,INE018E01016,Nifty 200
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016,Nifty 200
SRF Ltd.,CHEMICALS,SRF,EQ,INE647A01010,Nifty 200
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010,Nifty 200
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015,Nifty 200
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013,Nifty 200
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024,Nifty 200
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,Nifty 200
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011,Nifty 200
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,Nifty 200
